id;issue;customfield;parentkey;stringvalue;numbervalue;textvalue;datevalue;valuetype;updated
13372;12652;10006;;Vertrg KFZ;;;;;
10478;10669;10006;;Vertrag_Tab Notizen;;;;;
10476;10668;10006;;Vertrag_Tab Allgemeine Daten;;;;;
12001;11486;10006;;Vertrag Wohngebäude NVG;;;;;
11992;11481;10006;;Vertrag Wohngebäude;;;;;
11637;11371;10006;;Vertrag Verkehrsservice;;;;;
31234;10929;10006;;Vertrag Usecase;;;;;
11622;11358;10006;;Vertrag Unfall;;;;;
13914;12842;10006;;Vertrag Transportversicherung;;;;;
22489;14981;10006;;Vertrag Transportversicherung;;;;;
11634;11370;10006;;Vertrag Technische Versicherung;;;;;
12227;11558;10006;;Vertrag Tab Dokumente/Korrespondenzen;;;;;
13978;11491;10006;;Vertrag Rechtsschutz;;;;;
11044;10951;10006;;Vertrag Rechtschutz;;;;;
11640;11372;10006;;Vertrag Moped;;;;;
11625;11365;10006;;Vertrag Modul Inhalt;;;;;
11631;11369;10006;;Vertrag Leben;;;;;
11612;11349;10006;;Vertrag Kranken;;;;;
12188;11557;10006;;Vertrag Kfz;;;;;
12223;11373;10006;;Vertrag Industrie/Sach;;;;;
23563;15148;10006;;Vertrag Industrie/Sach;;;;;
11998;11485;10006;;Vertrag Hausrat/Glas;;;;;
12185;11556;10006;;Vertrag Hausrat;;;;;
13971;12851;10006;;Vertrag Hausrat;;;;;
11655;11377;10006;;Vertrag Handel und Handwerk;;;;;
11048;10952;10006;;Vertrag Haftpflicht;;;;;
12182;11555;10006;;Vertrag Haftpflicht;;;;;
12225;11487;10006;;Vertrag Glas;;;;;
11649;11375;10006;;Vertrag Geschäftsversicherung;;;;;
11658;11378;10006;;Vertrag Geschäftsgebäude;;;;;
11646;11374;10006;;Vertrag Gebündelte Gebäude;;;;;
11652;11376;10006;;Vertrag Garanta spezial;;;;;
12179;11554;10006;;Vertrag Firmenversicherung-Mehrgefahren;;;;;
11664;11380;10006;;Vertrag Firmenversicherung;;;;;
12176;11553;10006;;Vertrag Feuer/Industrie;;;;;
23310;15127;10006;;Vertrag FA-Unfall/Leben;;;;;
11995;11483;10006;;Vertrag Familienpolice;;;;;
13934;12843;10006;;Vertrag FA Unfall/Leben;;;;;
13946;12846;10006;;Vertrag FA Unfall;;;;;
24552;15194;10006;;Vertrag FA Unfall;;;;;
24627;15199;10006;;Vertrag FA Rechtsschutz;;;;;
24685;15203;10006;;Vertrag FA Rechtsschutz;;;;;
13961;12849;10006;;Vertrag FA Rechtschutz;;;;;
13966;12850;10006;;Vertrag FA Leben;;;;;
24701;15204;10006;;Vertrag FA Leben;;;;;
13956;12848;10006;;Vertrag FA Hausrat/Glas;;;;;
24584;15196;10006;;Vertrag FA Hausrat/Glas;;;;;
13951;12847;10006;;Vertrag FA Haftpflicht;;;;;
24568;15195;10006;;Vertrag FA Haftpflicht;;;;;
11661;11379;10006;;Vertrag Betriebsunterbrechung;;;;;
11628;11368;10006;;Vertrag Bausparen;;;;;
32183;10915;10006;;Vertrag (NVG und Fremd);;;;;
12343;11618;10006;;Vertrag - Wohngebäude NVG;;;;;
12304;11604;10006;;Vertrag - Verkehrsservice;;;;;
12292;11600;10006;;Vertrag - Unfall;;;;;
12301;11603;10006;;Vertrag - Technische Versicherung;;;;;
12349;11622;10006;;Vertrag - Rechtsschutz;;;;;
12274;11579;10006;;Vertrag - Notizen;;;;;
12307;11605;10006;;Vertrag - Moped;;;;;
12298;11602;10006;;Vertrag - Leben;;;;;
12289;11599;10006;;Vertrag - Kranken;;;;;
17821;13864;10006;;Vertrag - Kfz;;;;;
12310;11606;10006;;Vertrag - Industrie/Sach;;;;;
12340;11617;10006;;Vertrag - Hausrat/Glas;;;;;
22483;11627;10006;;Vertrag - Hausrat/ Glas;;;;;
12322;11610;10006;;Vertrag - Handel und Handwerk;;;;;
12358;11626;10006;;Vertrag - Haftpflicht;;;;;
16562;11608;10006;;Vertrag - Geschäftsversicherung (954);;;;;
16563;11612;10006;;Vertrag - Geschäftsgebäude (976);;;;;
12313;11607;10006;;Vertrag - Gebündelte Gebäude;;;;;
12319;11609;10006;;Vertrag - Garanta Spezial;;;;;
12355;11625;10006;;Vertrag - Firmenversicherungen Mehrgefahren;;;;;
12331;11614;10006;;Vertrag - Firmenversicherung;;;;;
12352;11624;10006;;Vertrag - Feuer/Industrie;;;;;
12337;11616;10006;;Vertrag - Familienpolice;;;;;
12277;11584;10006;;Vertrag - Dokumente/Korrespondenzen;;;;;
12328;11613;10006;;Vertrag - Betriebsunterbrechung;;;;;
12295;11601;10006;;Vertrag - Bausparen;;;;;
12271;11576;10006;;Vertrag - Allgemeine Daten;;;;;
13841;12811;10006;;Vertrag - Allg. Vertragsdaten;;;;;
10486;10667;10006;;Vertrag;;;;;
16761;13594;10006;;Uselabs;;;;;
17567;13718;10006;;Uselab / Beta-Test;;;;;
13369;12648;10006;;Usecases;;;;;
11400;11136;10006;;Test;;;;;
10467;10674;10006;;Suche Vertrag;;;;;
10470;10675;10006;;Suche Schaden;;;;;
10464;10673;10006;;Suche Kunde;;;;;
10473;10676;10006;;Suche Antrag;;;;;
12236;11560;10006;;Suche - Vertrag;;;;;
12240;11561;10006;;Suche - Schaden;;;;;
12231;11514;10006;;Suche - Kunde;;;;;
12230;11515;10006;;Suche - Antrag;;;;;
22338;14951;10006;;Style Anpassungen;;;;;
14887;13005;10006;;Statistik;;;;;
11681;11402;10006;;Sparte Hausrat;;;;;
62582;17412;10329;;SHUK-PP;;;;;
10950;10939;10006;;Schäden;;;;;
25140;15309;10006;;Schaden;;;;;
13139;12491;10006;;Rollen/ Rechte / Sichtberechtigung;;;;;
10816;10911;10006;;Rechtswesen;;;;;
50135;16726;10329;;PM Leben;;;;;
50174;16728;10329;;PM Leben;;;;;
50255;16732;10329;;PM Leben;;;;;
50428;16741;10329;;PM Leben;;;;;
50486;16744;10329;;PM Leben;;;;;
50509;16745;10329;;PM Leben;;;;;
50550;16747;10329;;PM Leben;;;;;
50616;16750;10329;;PM Leben;;;;;
50636;16751;10329;;PM Leben;;;;;
50656;16752;10329;;PM Leben;;;;;
51018;16770;10329;;PM Leben;;;;;
51038;16771;10329;;PM Leben;;;;;
51058;16772;10329;;PM Leben;;;;;
51162;16777;10329;;PM Leben;;;;;
51182;16778;10329;;PM Leben;;;;;
51202;16779;10329;;PM Leben;;;;;
51222;16780;10329;;PM Leben;;;;;
51242;16781;10329;;PM Leben;;;;;
54730;16949;10329;;PM Leben;;;;;
54773;16951;10329;;PM Leben;;;;;
54839;16954;10329;;PM Leben;;;;;
55857;17004;10329;;PM Leben;;;;;
55882;17005;10329;;PM Leben;;;;;
63362;17450;10329;;PM Leben;;;;;
63385;17451;10329;;PM Leben;;;;;
63433;17453;10329;;PM Leben;;;;;
63567;17459;10329;;PM Leben;;;;;
63657;17463;10329;;PM Leben;;;;;
63773;17468;10329;;PM Leben;;;;;
66414;17591;10329;;PM Leben;;;;;
66436;17592;10329;;PM Leben;;;;;
68613;17698;10329;;PM Leben;;;;;
68704;17702;10329;;PM Leben;;;;;
68724;17703;10329;;PM Leben;;;;;
68877;17710;10329;;PM Leben;;;;;
73070;17907;10329;;PM Leben;;;;;
80967;18272;10329;;PM Leben;;;;;
81043;18276;10329;;PM Leben;;;;;
30282;15030;10006;;Person (Kunde/Interessent) Usecase;;;;;
30280;10932;10006;;Person (Kunde/Interessent);;;;;
13247;12509;10006;;NUSS Zweitschrift anfordern;;;;;
48839;16669;10006;;NUSS Zahlweise ändern;;;;;
13262;12514;10006;;NUSS Wohngebäudeverkauf melden;;;;;
13256;12512;10006;;NUSS Vertragsbestätigung anfordern;;;;;
13226;12502;10006;;NUSS Vertrag fehlt melden;;;;;
13828;12806;10006;;NUSS Umstellung auf Lastschrift;;;;;
13217;12499;10006;;NUSS Personendaten ändern;;;;;
13223;12501;10006;;NUSS Kontaktdaten Ändern;;;;;
13232;12504;10006;;NUSS Klinikcard anfordern;;;;;
12238;11517;10006;;NUSS Grüne Karte anfordern;;;;;
13253;12511;10006;;NUSS FVU Melden;;;;;
13238;12506;10006;;NUSS Fahrzeugverkauf melden;;;;;
13241;12507;10006;;NUSS eVB Ummeldung;;;;;
13244;12508;10006;;NUSS eVB Neuanmeldung;3000000.0;;;;
13265;12515;10006;;NUSS Ersatzversicherungsschein anfordern;1000000.0;;;;
48723;16661;10006;;NUSS Erneut abbuchen;3000000.0;;;;
13250;12510;10006;;NUSS Dynamik widersprechen;5000000.0;;;;
13259;12513;10006;;NUSS Doppelversicherung Melden;3000000.0;;;;
13271;12517;10006;;NUSS Bezugsrecht ändern;3000000.0;;;;
13268;12516;10006;;NUSS Berufsunfähigkeit melden;2000000.0;;;;
13817;12802;10006;;NUSS Bankverbindung ändern;8000000.0;;;;
12242;11516;10006;;NUSS Auto Kundenkarte anfordern;5000000.0;;;;
13235;12505;10006;;NUSS Arztrechnung einreichen;3000000.0;;;;
13229;12503;10006;;NUSS Arbeitsunfähigkeit melden;5000000.0;;;;
38692;16133;10006;;NUSS Antragsbegleitung (24h Button);3000000.0;;;;
48646;16656;10006;;NUSS Anfrage Fachbereich;3000000.0;;;;
13273;12500;10006;;NUSS Adresse Ändern;1000000.0;;;;
48781;16665;10006;;NUSS Abruftag ändern;1000000.0;;;;
12224;10702;10006;;NUSS;3000000.0;;;;
12233;11559;10006;;NUSS;2000000.0;;;;
23314;15131;10006;;NÜRNBERGER FlowChart;0.0;;;;
10578;10670;10002;;;2000000.0;;;;
10579;10571;10002;;;2000000.0;;;;
10580;10575;10002;;;3000000.0;;;;
10581;10573;10002;;;3000000.0;;;;
10582;10576;10002;;;3000000.0;;;;
10583;10577;10002;;;3000000.0;;;;
10584;10581;10002;;;3000000.0;;;;
10585;10583;10002;;;3000000.0;;;;
10586;10652;10002;;;3000000.0;;;;
10587;10653;10002;;;3000000.0;;;;
10588;10655;10002;;;1000000.0;;;;
10591;10690;10002;;;3000000.0;;;;
10592;10691;10002;;;2000000.0;;;;
10593;10658;10002;;;2000000.0;;;;
10594;10659;10002;;;1000000.0;;;;
10595;10660;10002;;;1000000.0;;;;
10596;10661;10002;;;;;;;
10597;10565;10002;;;;;;;
10598;10568;10002;;;;;;;
10599;10689;10002;;;2000000.0;;;;
10600;10677;10002;;;2000000.0;;;;
10601;10678;10002;;;;;;;
10602;10679;10002;;;2000000.0;;;;
10603;10680;10002;;;;;;;
10604;10681;10002;;;2000000.0;;;;
10605;10682;10002;;;;;;;
10606;10683;10002;;;2000000.0;;;;
10607;10684;10002;;;2000000.0;;;;
10608;10686;10002;;;2000000.0;;;;
10611;10687;10002;;;;;;;
10612;10688;10002;;;2000000.0;;;;
10613;10694;10002;;;;;;;
10614;10692;10002;;;2000000.0;;;;
10615;10567;10002;;;;;;;
10622;10703;10002;;;2000000.0;;;;
10624;10704;10002;;;2000000.0;;;;
10626;10705;10002;;;2000000.0;;;;
10628;10706;10002;;;;;;;
10630;10707;10002;;;2000000.0;;;;
10632;10708;10002;;;;;;;
10634;10709;10002;;;2000000.0;;;;
10636;10710;10002;;;;;;;
10638;10711;10002;;;2000000.0;;;;
10640;10712;10002;;;;;;;
10642;10713;10002;;;2000000.0;;;;
10644;10714;10002;;;;;;;
10646;10715;10002;;;2000000.0;;;;
10648;10716;10002;;;;;;;
10650;10717;10002;;;2000000.0;;;;
10652;10718;10002;;;;;;;
10654;10719;10002;;;2000000.0;;;;
10656;10720;10002;;;;;;;
10658;10721;10002;;;2000000.0;;;;
10660;10722;10002;;;;;;;
10662;10723;10002;;;2000000.0;;;;
10664;10724;10002;;;;;;;
10666;10725;10002;;;2000000.0;;;;
10676;10729;10002;;;;;;;
10818;10912;10002;;;2000000.0;;;;
10834;10931;10002;;;;;;;
11052;10949;10002;;;;;;;
11053;10936;10002;;;;;;;
11054;10934;10002;;;;;;;
11055;10991;10002;;;;;;;
11094;10992;10002;;;;;;;
11097;10993;10002;;;;;;;
11098;10994;10002;;;;;;;
11102;10986;10002;;;;;;;
11103;10976;10002;;;2000000.0;;;;
11104;10977;10002;;;;;;;
11105;10954;10002;;;;;;;
11106;10969;10002;;;;;;;
11107;10978;10002;;;;;;;
11108;10956;10002;;;;;;;
11110;10971;10002;;;;;;;
11112;10987;10002;;;;;;;
11115;10959;10002;;;;;;;
11155;11008;10002;;;;;;;
11157;11009;10002;;;;;;;
11159;11010;10002;;;;;;;
11166;11012;10002;;;;;;;
11340;10981;10002;;;;;;;
11352;11118;10002;;;;;;;
11355;11121;10002;;;;;;;
11356;11116;10002;;;;;;;
11357;11117;10002;;;;;;;
11358;11114;10002;;;;;;;
11369;11125;10002;;;;;;;
11402;11137;10002;;;;;;;
11410;11120;10002;;;;;;;
11430;10953;10002;;;;;;;
11846;11386;10002;;;;;;;
11847;11406;10002;;;;;;;
11848;11407;10002;;;;;;;
11850;10968;10002;;;;;;;
11851;10957;10002;;;;;;;
11852;11361;10002;;;;;;;
11853;11362;10002;;;;;;;
11854;11382;10002;;;;;;;
11855;11350;10002;;;;;;;
11857;11354;10002;;;;;;;
11858;11355;10002;;;;;;;
11859;10657;10002;;;;;;;
11860;10656;10002;;;;;;;
11871;11403;10002;;;;;;;
11932;11459;10002;;;;;;;
11987;11479;10002;;;;;;;
13332;12595;10002;;;;;;;
13590;10900;10002;;;;;;;
13637;12721;10002;;;;;;;
13651;12731;10002;;;;;;;
14485;12955;10002;;;;;;;
15276;12650;10002;;;3000000.0;;;;
15277;12649;10002;;;;;;;
15278;12656;10002;;;;;;;
15279;12659;10002;;;;;;;
15280;12660;10002;;;;;;;
15281;12661;10002;;;;;;;
15282;12662;10002;;;;;;;
15283;12663;10002;;;;;;;
15284;12664;10002;;;;;;;
15285;12665;10002;;;;;;;
15286;12666;10002;;;;;;;
15287;12667;10002;;;;;;;
15288;13008;10002;;;;;;;
15289;13009;10002;;;1000000.0;;;;
15290;13010;10002;;;;;;;
15291;12668;10002;;;;;;;
15292;12669;10002;;;;;;;
15293;12998;10002;;;;;;;
15294;12670;10002;;;;;;;
15295;12671;10002;;;;;;;
15296;12672;10002;;;;;;;
15321;13022;10002;;;;;;;
15325;13023;10002;;;;;;;
15329;13024;10002;;;;;;;
15333;13025;10002;;;;;;;
15339;13026;10002;;;;;;;
15342;12755;10002;;;;;;;
15353;12653;10002;;;;;;;
15355;11388;10002;;;;;;;
15361;11387;10002;;;;;;;
15607;13203;10002;;;;;;;
16128;13508;10002;;;;;;;
16136;13509;10002;;;;;;;
16144;13510;10002;;;;;;;
16152;13511;10002;;;;;;;
16169;13512;10002;;;;;;;
16170;13513;10002;;;;;;;
16171;12801;10002;;;;;;;
16307;13523;10002;;;;;;;
17308;13626;10002;;;;;;;
17311;13627;10002;;;;;;;
18528;14001;10002;;;;;;;
18928;14061;10002;;;;;;;
18931;14062;10002;;;;;;;
18934;14063;10002;;;;;;;
18937;14064;10002;;;;;;;
18940;14065;10002;;;;;;;
18943;14066;10002;;;;;;;
18946;14067;10002;;;;;;;
18949;14068;10002;;;;;;;
18952;14069;10002;;;;;;;
18955;14070;10002;;;;;;;
18958;14071;10002;;;;;;;
18961;14072;10002;;;;;;;
18964;14073;10002;;;;;;;
18967;14074;10002;;;;;;;
18971;14075;10002;;;;;;;
26441;15396;10327;;;;;;;
26475;15398;10327;;;;;;;
26496;15399;10327;;;;;;;
26519;15400;10327;;;;;;;
26545;15401;10327;;;;;;;
26632;15406;10327;;;;;;;
26653;15407;10327;;;;;;;
26672;15408;10327;;;;;;;
26691;15409;10327;;;;;;;
26743;15412;10327;;;;;;;
26764;15413;10327;;;;;;;
26783;15414;10327;;;;;;;
26802;15415;10327;;;;;;;
26827;15416;10327;;;;;;;
26868;15418;10327;;;;;;;
26887;15419;10327;;;;;;;
26906;15420;10327;;;;;;;
26931;15421;10327;;;;;;;
26952;15422;10327;;;;;;;
26971;15423;10327;;;;;;;
26990;15424;10327;;;;;;;
27009;15425;10327;;;;;;;
27028;15426;10327;;;;;;;
27047;15427;10327;;;;;;;
27066;15428;10327;;;;;;;
27085;15429;10327;;;;;;;
27104;15430;10327;;;;;;;
27123;15431;10327;;;;;;;
27162;15432;10327;;;;;;;
27183;15433;10327;;;;;;;
27202;15434;10327;;;;;;;
27221;15435;10327;;;;;;;
27240;15436;10327;;;;;;;
27259;15437;10327;;;;;;;
27278;15438;10327;;;;;;;
27297;15439;10327;;;;;;;
27316;15440;10327;;;;;;;
27335;15441;10327;;;;;;;
27354;15442;10327;;;;;;;
27373;15443;10327;;;;;;;
27414;15444;10327;;;;;;;
27435;15445;10327;;;;;;;
27454;15446;10327;;;;;;;
27473;15447;10327;;;;;;;
27492;15448;10327;;;;;;;
27511;15449;10327;;;;;;;
27530;15450;10327;;;;;;;
27549;15451;10327;;;;;;;
27568;15452;10327;;;;;;;
27587;15453;10327;;;;;;;
27606;15454;10327;;;;;;;
27645;15455;10327;;;;;;;
27666;15456;10327;;;;;;;
27685;15457;10327;;;;;;;
27708;15458;10327;;;;;;;
27729;15459;10327;;;;;;;
27748;15460;10327;;;;;;;
27843;15465;10327;;;;;;;
27862;15466;10327;;;;;;;
27886;15467;10327;;;;;;;
27905;15468;10327;;;;;;;
27929;15469;10327;;;;;;;
27951;15470;10327;;;;;;;
28049;15475;10327;;;;;;;
28073;15476;10327;;;;;;;
28107;15478;10327;;;;;;;
28129;15479;10327;;;;;;;
28149;15480;10327;;;;;;;
28169;15481;10327;;;;;;;
28189;15482;10327;;;;;;;
28217;15483;10327;;;;;;;
28239;15484;10327;;;;;;;
28259;15485;10327;;;;;;;
28279;15486;10327;;;;;;;
28299;15487;10327;;;;;;;
28327;15488;10327;;;;;;;
28349;15489;10327;;;;;;;
28369;15490;10327;;;;;;;
28391;15491;10327;;;;;;;
28411;15492;10327;;;;;;;
28433;15493;10327;;;;;;;
28455;15494;10327;;;;;;;
28474;15495;10327;;;;;;;
28499;15496;10327;;;;;;;
28519;15497;10327;;;;;;;
28539;15498;10327;;;;;;;
28559;15499;10327;;;;;;;
28585;15500;10327;;;;;;;
28606;15501;10327;;;;;;;
28627;15502;10327;;;;;;;
28648;15503;10327;;;;;;;
28667;15504;10327;;;;;;;
28699;15506;10327;;;;;;;
28720;15507;10327;;;;;;;
28739;15508;10327;;;;;;;
28758;15509;10327;;;2000000.0;;;;
28777;15510;10327;;;3000000.0;;;;
28798;15511;10327;;;2000000.0;;;;
28819;15512;10327;;;5000000.0;;;;
28838;15513;10327;;;;;;;
28857;15514;10327;;;;;;;
28876;15515;10327;;;7000000.0;;;;
28895;15516;10327;;;5000000.0;;;;
28914;15517;10327;;;5000000.0;;;;
28968;15519;10327;;;;;;;
28989;15520;10327;;;;;;;
29008;15521;10327;;;3000000.0;;;;
29027;15522;10327;;;5000000.0;;;;
29046;15523;10327;;;2000000.0;;;;
29075;15524;10327;;;2000000.0;;;;
29096;15525;10327;;;1000000.0;;;;
29115;15526;10327;;;1000000.0;;;;
29134;15527;10327;;;5000000.0;;;;
