id;pkey;issuenum;pruject;Reporter;assignee;creator;issuetype;summary;description;environment;priority;resolution;issuestatus;created;updated;duedate;resulutiondate;votes;watches;timeestimate;timeoriginalestimate;timespent;worklflow_id;security;fixfor;component;archievedby;archiveddate;archived
32005;;1753;12250;b000729;b000975;b000729;10000;Wartung Datenversorgung HOST;;;3.0;;10700;2018-01-09 16:48:25;2024-09-27 12:30:58;;;0;1;1094400.0;0.0;7610400;777458;;;;;;
57309;;1737;12903;b001242;b000201;b001242;10001;Scrum-Organisation Projektkoordination / SAFe;;;3.0;;10000;2019-01-30 12:47:44;2024-09-25 17:30:54.007;;;0;0;;0.0;94475307;487268;;;;;;
59854;;44;12213;b001570;b001391;b001391;10100; Allgemeine Vorbereitungen Fehlermanagement AE;wie Besprechungen, Voruntersuchungen, Analysen;;3.0;;10700;2019-02-26 10:42:52;2024-08-23 15:48:58;2019-12-31 00:00:00.000;;0;1;273600.0;0.0;2600280;811056;;;;;;
82427;;136;14006;b002113;b003069;b002113;10001;Zeiterfassung: Projektkoordination;;;3.0;;10000;2019-10-08 14:39:22.083;2024-09-26 11:39:41;;;0;2;;0.0;9003900;842552;;;;;;
82430;;139;14006;b002113;b003069;b002113;10001;Zeiterfassung: Sonstiges;;;3.0;;10000;2019-10-08 14:40:01;2024-09-13 14:43:17;;;0;1;;0.0;30477672;842553;;;;;;
87351;;529;14006;b001902;b001902;b001902;10001;0276 SHUK Bestand - Zeiterfassung BOSS Team;;;3.0;;10700;2019-11-15 10:55:36;2024-09-27 16:23:54;;;0;1;;0.0;18966372;880327;;;;;;
92890;;1213;14006;b001702;b003069;b001702;10101;Stefanie Neumeier bis 03.09.21;;;3.0;10000.0;10002;2020-01-03 11:00:51;2024-07-09 15:51:13;;2024-07-09 15:51:13;0;1;;0.0;9535293;844414;;;;;;
92908;;1229;14006;b002006;b001049;b002006;10101;Sandra Lopes;;;3.0;10000.0;10700;2020-01-03 11:14:06;2024-09-25 18:48:15;;2024-07-31 15:42:45.097;0;2;;0.0;27492780;880307;;;;;;
92909;;1230;14006;b002006;b000695;b002006;10101;Ortwin Roth;;;3.0;;10700;2020-01-03 11:14:42;2024-09-27 14:45:58;;;0;0;;0.0;20644200;880329;;;;;;
95044;;1593;14006;b000515;b003069;b000515;10101;Florian Koch;Grundlage: 190 Tage zu 80%;;3.0;10000.0;10002;2020-01-20 15:38:22;2024-07-08 16:10:48;;2024-07-08 16:10:48;0;1;4158720.0;0.0;23236920;844776;;;;;;
95059;;1596;14006;b000515;b003069;b000515;10101;Verena Kubitza;Grundlage: 167 Tage zu 60%;;3.0;10000.0;10002;2020-01-20 16:40:10;2024-07-08 16:11:23;;2024-07-08 16:11:23;0;1;2736000.0;0.0;17135472;844777;;;;;;
95362;;5364;12903;b002199;b003069;b001242;10001;Scrum Orga;Story ist für die Zeitbuchung bei Scrum-Terminen (Daily, Review, Retro, Planning, Workshops usw.);;3.0;;10000;2020-01-22 17:15:46;2024-07-31 16:01:15;;;0;0;;0.0;155362131;487282;;;;;;
95567;;98;13501;b000977;b000983;b000977;10100;Umsetzungsstufe 1 - AE;;;3.0;;10700;2020-01-24 08:29:49;2024-09-26 16:49:08;;;0;4;38386080.0;0.0;131078814;755348;;;;;;
95569;;99;13501;b000977;b000553;b000977;10100;Umsetzungsstufe 1 - Vertrieb;;;3.0;;10004;2020-01-24 08:32:35;2024-09-02 07:55:44;;;0;2;20793600.0;0.0;81618372;755269;;;;;;
95571;;100;13501;b000977;b003069;b000977;10100;Umsetzungsstufe 1 - Fachbereich;;;3.0;;10000;2020-01-24 08:34:14;2024-09-27 17:06:43;;;0;1;10615680.0;0.0;30631472;751628;;;;;;
103367;;2942;14006;b002113;b000515;b002113;10001;Zeiterfassung: Prozesse Angebot/Antrag;;;3.0;;10700;2020-03-26 11:15:10.067;2024-09-11 15:31:51;;;0;1;;0.0;34553676;880334;;;;;;N
105839;;3379;14006;b000036;b000036;b002038;10101;Lillian Ross;;;3.0;;10000;2020-04-14 15:08:37;2024-09-04 09:11:15;;;0;0;;0.0;6517620;842568;;;;;;N
106866;;3554;14006;b001649;b003069;b002038;10101;Roland Kasel;;;3.0;;10700;2020-04-22 10:10:15.033;2024-08-28 07:53:36;;;0;0;3720960.0;0.0;20769120;880309;;;;;;N
106869;;3557;14006;b001480;b001480;b002038;10101;Susanne Singer;;;3.0;10000.0;10002;2020-04-22 10:11:11;2024-07-29 16:31:38;;2024-07-29 16:31:38;0;0;3720960.0;0.0;15166800;846702;;;;;;N
108267;;3891;14006;b002113;b000308;b002113;10101;Schnittstelle Zahlungsverkehr;;;3.0;;10700;2020-05-04 09:40:06;2024-09-21 15:57:32;;;0;5;;0.0;18946439;880336;;;;;;N
111147;;4386;14006;b001447;b001447;b002038;10101;Marius Burkard;;;3.0;;10700;2020-05-18 12:42:56;2024-09-27 13:48:32;;;0;0;;0.0;8724600;880337;;;;;;N
111171;;4396;14006;b001983;b001983;b002038;10101;Laura Buchner;;;3.0;;10700;2020-05-18 13:24:54;2024-07-05 09:13:55;;;0;0;;0.0;16934400;880338;;;;;;N
121666;;464;13501;b001239;b003069;b001239;10000;Migration;;;3.0;;10000;2020-07-28 17:33:35;2024-09-19 16:29:36;;;0;1;;0.0;271800;751784;;;;;;N
