source_node_id;soure_node_entity;sink_node_id;sind_node_entity;association_type;sequence
10002;Project;10000;FieldLayoutScheme;ProjectScheme;
10002;Project;10000;IssueSecurityScheme;ProjectScheme;
10002;Project;10000;NotificationScheme;ProjectScheme;
10002;Project;10200;IssueTypeScreenScheme;ProjectScheme;
10002;Project;10300;WorkflowScheme;ProjectScheme;
10002;Project;10400;PermissionScheme;ProjectScheme;
10002;Project;10600;ProjectCategory;ProjectCategory;
10102;Project;10602;ProjectCategory;ProjectCategory;
10102;Project;11500;NotificationScheme;ProjectScheme;
10102;Project;13502;FieldLayoutScheme;ProjectScheme;
10102;Project;14700;PermissionScheme;ProjectScheme;
10102;Project;20700;IssueTypeScreenScheme;ProjectScheme;
10102;Project;21501;WorkflowScheme;ProjectScheme;
10200;Project;10000;IssueSecurityScheme;ProjectScheme;
10200;Project;10000;NotificationScheme;ProjectScheme;
10200;Project;10100;FieldLayoutScheme;ProjectScheme;
10200;Project;10300;IssueTypeScreenScheme;ProjectScheme;
10200;Project;10400;PermissionScheme;ProjectScheme;
10200;Project;10400;WorkflowScheme;ProjectScheme;
10200;Project;10600;ProjectCategory;ProjectCategory;
10300;Issue;10200;Component;IssueComponent;
10300;Issue;12100;Version;IssueFixVersion;
10300;Project;10000;NotificationScheme;ProjectScheme;
10300;Project;10400;IssueTypeScreenScheme;ProjectScheme;
10300;Project;10500;WorkflowScheme;ProjectScheme;
10300;Project;10600;ProjectCategory;ProjectCategory;
10300;Project;11303;PermissionScheme;ProjectScheme;
10303;Project;10000;NotificationScheme;ProjectScheme;
10303;Project;10401;IssueTypeScreenScheme;ProjectScheme;
10303;Project;10600;ProjectCategory;ProjectCategory;
10303;Project;11303;PermissionScheme;ProjectScheme;
10303;Project;21406;WorkflowScheme;ProjectScheme;
10304;Project;10100;IssueSecurityScheme;ProjectScheme;
10304;Project;10100;NotificationScheme;ProjectScheme;
10304;Project;10100;ProjectCategory;ProjectCategory;
10304;Project;10200;FieldLayoutScheme;ProjectScheme;
10304;Project;10405;IssueTypeScreenScheme;ProjectScheme;
10304;Project;10900;WorkflowScheme;ProjectScheme;
10304;Project;11302;PermissionScheme;ProjectScheme;
10400;Issue;10200;Component;IssueComponent;
10400;Issue;10201;Version;IssueFixVersion;
10400;Issue;10202;Component;IssueComponent;
10400;Issue;12100;Version;IssueFixVersion;
10401;Project;10100;IssueSecurityScheme;ProjectScheme;
10401;Project;10100;NotificationScheme;ProjectScheme;
